proxy_variable,k,b,mechanism_MAE,mechanism_RMSE,direction_accuracy,best_strategy,S1_total_loss,S5_total_loss,S0_total_loss,S5_vs_S0_improvement_pct
brent_wti_weighted_window_change,47.719011,1.803467,68.511433,111.422119,0.830769,S1_full_pass,5.162328,10.418538,12.363458,15.731202
brent_wti_avg_window_change,48.653461,2.009018,66.296911,112.01745,0.842308,S1_full_pass,5.122664,9.461731,11.560645,18.15568
basket_window_change,39.533953,3.149566,85.103759,123.964143,0.761538,S1_full_pass,1.480805,3.469835,11.823835,70.653893
brent_window_change,45.363975,1.848747,72.852276,113.735384,0.803846,S1_full_pass,4.925226,9.307614,13.684441,31.983966
wti_window_change,48.324419,2.865709,71.232218,118.050326,0.815385,S1_full_pass,4.096275,8.452759,10.364193,18.442668
