group,sample_size,mean_theory_adjust,mean_actual_adjust,mean_pass_through_ratio,median_pass_through_ratio,mean_pass_through_gap,under_transmitted_rate,over_transmitted_rate
theory_up,115,173.45796,188.152174,1.191809,1.154001,-14.694213,0.382609,0.617391
theory_down,86,-188.548435,-201.656977,1.078536,1.207856,13.108542,0.313953,0.686047
actual_up,107,167.959234,206.915888,1.214043,1.218958,-38.956654,0.317757,0.682243
actual_down,74,-191.121186,-241.148649,1.350128,1.326239,50.027462,0.22973,0.77027
high_oil_price_ge_80,47,77.22654,100.638298,0.943809,0.970907,-23.411758,0.489362,0.510638
medium_oil_price_40_80,138,9.89834,8.405797,1.310252,1.29078,1.492543,0.253623,0.746377
low_oil_price_lt_40,16,-78.944893,-99.6875,0.289899,0,20.742607,0.8125,0.1875
large_theory_up_ge_300,14,469.941896,417.321429,0.886479,0.955686,52.620467,0.642857,0.357143
large_theory_down_le_-300,12,-442.899272,-427.5,1.034039,1.056307,-15.399272,0.333333,0.666667
