strategy,total_loss_sum,consumer_loss_sum,refinery_loss_sum,cpi_loss_sum,volatility_loss_sum,security_loss_sum,mean_action,mean_abs_action,max_up_action,max_down_action,no_adjust_rate,final_cumulative_unmet_gap,notes
S1_full_pass,5.162328,4.326491,0,4.519107,19.672861,0,14.355769,139.087811,1164.85415,-768.448177,0.226923,0,action=theory_adjust_rule
S4_grid_best_fixed_lambda,5.162328,4.326491,0,4.519107,19.672861,0,14.355769,139.087811,1164.85415,-768.448177,0.226923,0,best lambda=1; threshold=50
S5_grid_best_segmented,10.418538,5.888668,2.980142,6.170423,27.532902,17.852006,11.985866,120.156402,815.397905,-614.758542,0.226923,616.174945,"best small=0.9, medium=0.8, large=0.7, extreme=0.4"
S0_current,12.363458,5.391846,5.466219,5.59219,21.014008,35.814026,14.355769,162.817308,1137.5,-995,0.219231,0.000029,actual historical adjustment
S2_fixed_70,14.574869,4.281728,8.545148,4.468735,19.535556,51.652602,9.514269,92.774821,815.397905,-537.913724,0.330769,1258.790106,lambda=0.7; threshold=50
S3_segmented_smoothing,14.599901,8.481369,1.923655,8.910773,27.839085,37.941814,12.487116,129.042556,698.91249,-614.758542,0.226923,485.849884,"small=1.0, medium=0.8, large=0.6, extreme=0.5"
