strategy,total_loss_sum,consumer_loss_sum,refinery_loss_sum,cpi_loss_sum,volatility_loss_sum,security_loss_sum,mean_abs_action,max_up_action,max_down_action,no_adjust_rate,final_cumulative_unmet_gap,rank
S2_fixed_70,2.975693,2.846808,1.043531,3.565373,6.471508,1.288099,92.774821,815.397905,-537.913724,0.330769,1258.790106,1
S5_grid_best_segmented,3.681068,3.915221,0.363934,4.923063,9.255631,0.069101,120.156402,815.397905,-614.758542,0.226923,616.174945,2
S3_segmented_smoothing,3.977584,4.142968,0.417629,5.223267,10.182306,0.167694,129.042556,698.91249,-614.758542,0.226923,485.849884,3
S1_full_pass,5.302208,5.870551,0,7.358291,13.299986,0,139.087811,1164.85415,-768.448177,0.226923,0,4
S4_grid_best_fixed_lambda,5.302208,5.870551,0,7.358291,13.299986,0,139.087811,1164.85415,-768.448177,0.226923,0,5
S0_current,7.727347,6.976544,3.227871,8.682923,20.804394,0.30831,162.817308,1137.5,-995,0.219231,0.000029,6
