strategy,total_loss_sum,consumer_loss_sum,refinery_loss_sum,cpi_loss_sum,volatility_loss_sum,security_loss_sum,mean_abs_action,max_up_action,max_down_action,no_adjust_rate,final_cumulative_unmet_gap,rank
S5_grid_best_segmented,3.418476,2.885447,0.616302,3.023507,9.348887,2.770959,120.156402,815.397905,-614.758542,0.226923,616.174945,1
S1_full_pass,4.226498,4.326491,0,4.519107,13.43399,0,139.087811,1164.85415,-768.448177,0.226923,0,2
S4_grid_best_fixed_lambda,4.226498,4.326491,0,4.519107,13.43399,0,139.087811,1164.85415,-768.448177,0.226923,0,3
S3_segmented_smoothing,4.25815,3.053293,0.707231,3.207878,10.284898,6.724508,129.042556,698.91249,-614.758542,0.226923,485.849884,4
S0_current,8.718383,5.141587,5.466219,5.332632,21.014008,12.363219,162.817308,1137.5,-995,0.219231,0.000029,5
S2_fixed_70,10.153773,2.098047,1.767161,2.18968,6.536712,51.652681,92.774821,815.397905,-537.913724,0.330769,1258.790106,6
