month,cpi_yoy,cpi_mom,cpi_transport_yoy,cpi_transport_mom,ppi_yoy,ppi_mom,ppi_fuel_power_yoy
2025-01,0.5,0.7,,,-2.3,-0.2,-5.2
2025-02,-0.7,-0.2,,,-2.2,-0.1,-5.0
2025-03,-0.1,-0.4,,,-2.5,-0.4,-6.8
2025-04,-0.1,0.1,,,-2.7,-0.4,-7.7
2025-05,-0.1,-0.2,,,-3.3,-0.4,-9.8
2025-06,0.1,-0.1,,,-3.6,-0.4,-10.4
2025-07,0.0,0.4,,,-3.6,-0.2,-10.8
2025-08,-0.4,0.0,,,-2.9,0.0,-9.7
2025-09,-0.3,0.1,,,-2.3,0.0,-8.1
2025-10,0.2,0.2,,,-2.1,0.1,-7.4
2025-11,0.7,-0.1,,,-2.2,0.1,-6.9
2025-12,0.8,0.2,,,-1.9,0.2,-5.7
2026-01,0.2,0.2,-3.4,0.1,-1.4,0.4,-7.1
2026-02,1.3,1.0,-0.7,2.2,-0.9,0.4,-8.4
2026-03,1.0,-0.7,0.9,0.4,0.5,1.0,-3.8
2026-04,1.2,0.3,4.6,3.5,2.8,1.7,4.4
